n,TA(n),TB(n),TC(n),log(n),log(TA),log(TB),log(TC)
100,2,4,0,6.64386,1,2,-inf
200,5,16,1,7.64386,2.32193,4,0
300,11,57,3,8.22882,3.45943,5.83289,1.58496
400,19,135,6,8.64386,4.24793,7.07682,2.58496
500,31,263,9,8.96578,4.9542,8.03892,3.16993
600,44,455,14,9.22882,5.45943,8.82972,3.80735
700,65,723,19,9.45121,6.02237,9.49785,4.24793
800,79,1095,25,9.64386,6.30378,10.0967,4.64386
900,102,1584,32,9.81378,6.67243,10.6294,5
1000,126,2375,40,9.96578,6.97728,11.2137,5.32193
1100,152,2832,47,10.1033,7.24793,11.4676,5.55459
1200,185,3673,58,10.2288,7.53138,11.8427,5.85798
1300,212,4633,68,10.3443,7.72792,12.1777,6.08746
1400,244,5766,78,10.4512,7.93074,12.4934,6.2854
1500,289,7081,93,10.5507,8.17493,12.7897,6.53916
1600,320,8649,104,10.6439,8.32193,13.0783,6.70044
1700,376,10377,128,10.7313,8.55459,13.3411,7
1800,432,13681,138,10.8138,8.75489,13.7399,7.10852
1900,607,15939,171,10.8918,9.24555,13.9603,7.41785
2000,557,16841,160,10.9658,9.12153,14.0397,7.32193
2100,560,19435,176,11.0362,9.12928,14.2464,7.45943
2200,614,22691,196,11.1033,9.26209,14.4698,7.61471
2300,671,25561,213,11.1674,9.39017,14.6417,7.73471
2400,732,29121,231,11.2288,9.5157,14.8298,7.85175
2500,801,33640,265,11.2877,9.64566,15.0379,8.04985
2600,886,37756,278,11.3443,9.79116,15.2044,8.11894
2700,953,41695,293,11.3987,9.89633,15.3476,8.19476
2800,996,46128,319,11.4512,9.96,15.4934,8.31741
2900,1216,53758,341,11.5018,10.2479,15.7142,8.41363
3000,1273,58840,372,11.5507,10.314,15.8445,8.53916